site,date,cl_mgl,so4_mgl,br_mgl,no3n_mgl,na_mgl,k_mgl,mg_mgl,ca_mgl,doc_mgl,tdn_mgl,nh4n_mgl,po4p_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,spc_uScm,DO.obs,DO.sat,watertemp_C,discharge,airpres_kPa,airtemp_C,latitude,longitude,CRS,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,habitat,slope_mm
UNHC,2019-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052023061601356294,0,0.5046931312689636,4.7103940392745525,7.8006078478333984,1.6620740141884034,5.310481749156744,1.6964975639728834,9.086177078274321,0.3508787984800732,NA,8.301666666666666,11.455530019584886,8.977708333333334,0.9222163735775609,100.34930429259822,8.5625,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,0.00188495565416643
NHC,2019-11-20,10.58106995,10.42768998,0.005,5e-4,6.65099528,1.6433728,4.03089525,4.06502066,3.507,0.1062,0.005,0.005,0.28960677313220107,0,0.5964958160642119,1.7495171423293776,2.9507118875811487,0.5525418610555894,4.8778907461584735,1.1886184408694296,8.365675100259546,0.39784180859359003,129.23958333333334,10.505208333333334,11.500753882740314,9.139895833333334,0.8247523504696368,101.14873137593156,9.4515625,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,0.00230383472585434
PM,2019-11-20,10.64530774,13.10655809,NA,0.035755663,NA,NA,NA,NA,3.768,0.1173,0.005,0.00939,0.32834657573258175,0,0.8636450523597476,4.383319875605702,6.102687415815679,2.663470260222654,10.307785754897115,6.679255692003861,14.166721521887979,0.38770222944503147,98.03541666666666,10.25953125,11.476087905356229,9.229574270833334,0.8358805658175856,101.14873137593156,9.4515625,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,0.00439823050281498
CBP,2019-11-20,10.41619253,11.7564827,NA,0.026882222,NA,NA,NA,NA,3.609,0.1187,0.005,0.00487,0.2356143402548937,0,0.635916297436407,4.032151282233414,5.36476777304547,2.800609828186633,10.405006183049185,7.765683757906944,13.244023023269342,0.36282709733365315,85.73541666666667,10.318958333333333,11.548849496730428,8.968711302083333,0.849568833348289,101.14873137593156,9.4515625,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,0.00387463147802864
WB,2019-11-20,10.10415359,12.42694528,NA,0.033381081,NA,NA,NA,NA,4.175,0.1488,0.005,0.00649,0.7082235678644118,0.28171986612689076,1.1562452336469673,4.365720236458076,6.562380713720596,2.2667176811994825,5.293568956634044,2.6757628495981285,8.001311792194914,0.5481994310242891,98.70416666666667,9.981510416666666,11.533703353329651,9.025820989583334,0.8677430300493516,101.14873137593156,9.4515625,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,0.00397935127800959
WBP,2019-11-20,10.51692952,12.64447129,NA,0,NA,NA,NA,NA,4.429,0.168,0.005,0.00713,0.7403881515184301,0,1.7162752849337553,3.725015781240191,6.104143430953707,1.615472073891263,3.1353764037732357,1.507541935263887,4.98851038804318,0.5467852570979235,90.94479166666666,9.370052083333333,11.52151315901039,9.0651215625,0.8689800673685724,101.14873137593156,9.4515625,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,0.00219911495598649
UNHC,2019-11-20,4.44691428,5.83554962,0.005,0.02316432,2.6250164,0.6435082,1.58632325,1.09122898,2.171,0.09697,0.00139252,0.005,0,0,0.4402360740047233,5.277519734726382,8.632463190421046,2.086160119027689,5.550800182824453,2.0283872207033418,9.261975550951385,0.3475778519699024,NA,8.1353125,11.442217373884288,9.353270833333333,0.8859401487453842,101.14873137593156,9.4515625,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,0.00188495565416643
MC751,2019-11-20,10.84524608,10.39600933,NA,0.029131827,NA,NA,NA,NA,4.517,0.1613,4.44e-4,0.00666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0087,-78.9683,WGS84,NA,4,3.574165825,0.01,pool,NA
NHC,2019-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11011836674388627,0,0.43924046630604485,1.8902159864891934,3.0834837041390446,0.667743739299596,5.7912934032930625,1.9416414038718595,9.790089554574232,0.3926024978714764,130.77083333333334,10.6865625,11.783853382092891,8.363572916666666,0.7420737746916065,101.70852304259823,8.055729166666667,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,0.00230383472585434
PM,2019-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.40028631291452954,3.2587346112381033,4.816448536534682,1.6890697004025177,9.688062338438787,5.646130525860748,13.4155674662591,0.380398074300073,94.90208333333334,10.452916666666667,11.726182977528346,8.567739583333333,0.7490617200055881,101.70852304259823,8.055729166666667,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,0.00439823050281498
