site,date,datetime,group,CH4.ugL,CO2.ugL,N2O.ugL,CH4.sat,CO2.sat,N2O.sat,pH,level_m.inst,discharge.inst,depth.inst,watertemp_C.inst,DO.obs.inst,DO.sat.inst,spc_uScm.inst,airtemp_C.inst,airpres_kPa.inst,latitude,longitude,CRS,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,habitat,cl_mgl,so4_mgl,br_mgl,no3n_mgl,na_mgl,k_mgl,mg_mgl,ca_mgl,doc_mgl,tdn_mgl,nh4n_mgl,po4p_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,spc_uScm,DO.obs,DO.sat,watertemp_C,discharge,airpres_kPa,airtemp_C,sample,slope_mm
WB,2020-01-29,2020-01-29T18:00:00Z,2020-01-29,2.533582474,2342.823969,0.94858909,0.067303399,1061.726068,0.617457345,7.06,0.7101760413771845,0.5258953832174875,0.514029413778929,6.56,12.355,12.247042712906238,68.5,10,100.76381730275048,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,8.44,8.35,0.07,0.3164,5.56,NA,3.02,9.37,3.741,0.4241,0.005,0.005,0.5015884760715854,0.07879549002356961,0.9047449773390408,0.2992858407132039,1.0138060415138133,0,3.8412950004047417,1.512502192729507,6.365086654003509,0.5191151461857428,68.33020833333333,12.03140625,12.239881378675456,6.612291666666667,0.5686193417834786,101.17732512593156,4.413020833333333,WB_2020-01-29,0.00397935127800959
WBP,2020-01-29,2020-01-29T18:15:00Z,2020-01-29,5.325067637,2514.096806,0.830165091,0.067790858,1072.295758,0.623995675,6.95,0.9851933189003113,0.5204026480728632,0.5106486391877891,6.3,12.23,12.32648811420289,61.4,10,100.7134068574765,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,8.52,8.39,0.015,0.3195,5.55,NA,3.03,9.62,3.666,0.4342,0.005,0.005,0.5160259437704734,0,1.469840661857848,0.7453664615994751,2.306628974418247,0,2.5787526568982266,0.9891052738505242,4.320613304826375,0.5167698283409268,61.31346153846154,11.914222756410256,12.30334386588678,6.4165544871794875,0.5698916822981364,101.17732512593156,4.413020833333333,WBP_2020-01-29,0.00219911495598649
WBP,2020-01-29,2020-01-29T18:15:00Z,2020-01-29,5.19358454,2408.481707,0.80286275,0.067790858,1072.295758,0.623995675,6.95,0.9851933189003113,0.5204026480728632,0.5106486391877891,6.3,12.23,12.32648811420289,61.4,10,100.7134068574765,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,8.52,8.39,0.015,0.3195,5.55,NA,3.03,9.62,3.666,0.4342,0.005,0.005,0.5160259437704734,0,1.469840661857848,0.7453664615994751,2.306628974418247,0,2.5787526568982266,0.9891052738505242,4.320613304826375,0.5167698283409268,61.31346153846154,11.914222756410256,12.30334386588678,6.4165544871794875,0.5698916822981364,101.17732512593156,4.413020833333333,WBP_2020-01-29,0.00219911495598649
UNHC,2020-01-29,2020-01-29T17:45:00Z,2020-01-29,3.948105976,2102.540698,0.781370135,0.067130552,1058.050066,0.615191317,7.72,0.5624649449329483,0.5310660991284459,0.3075969106653762,7.073333333333333,11.73,12.097881394519664,66.2207894736842,9.575,100.79173308064675,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,8.84040874,8.26972046,0.07259141,0.33684576,5.40002528,0.8260072,2.634809,2.36669896,3.872,0.4784,0.005,0.005,0.47602412736109656,0.05268536829837906,0.8975840993714392,2.0287784968908733,3.14797509645561,0.9535545198744104,8.12106953189039,4.483469484594165,11.997659771752739,0.31497015032384684,66.2207894736842,11.347708333333333,12.200741606361518,6.745833333333334,0.5873302317049159,101.17732512593156,4.413020833333333,UNHC_2020-01-29,0.00188495565416643
UNHC,2020-01-29,2020-01-29T17:45:00Z,2020-01-29,4.114467305,2054.063025,0.794480396,0.067130552,1058.050066,0.615191317,7.72,0.5624649449329483,0.5310660991284459,0.3075969106653762,7.073333333333333,11.73,12.097881394519664,66.2207894736842,9.575,100.79173308064675,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,8.84040874,8.26972046,0.07259141,0.33684576,5.40002528,0.8260072,2.634809,2.36669896,3.872,0.4784,0.005,0.005,0.47602412736109656,0.05268536829837906,0.8975840993714392,2.0287784968908733,3.14797509645561,0.9535545198744104,8.12106953189039,4.483469484594165,11.997659771752739,0.31497015032384684,66.2207894736842,11.347708333333333,12.200741606361518,6.745833333333334,0.5873302317049159,101.17732512593156,4.413020833333333,UNHC_2020-01-29,0.00188495565416643
NHC,2020-01-30,2020-01-30T18:30:00Z,2020-01-29,2.260156319,1290.077957,0.739243125,0.067607211,1066.518777,0.620244593,7.52,0.9718479637270624,0.4323118919950087,0.3664056286030283,7.1,12.96,12.13006882243467,91.17669172932331,9.45,101.18545375122402,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,8.72250504,7.80768964,0.05590166,0.26731168,5.45455736,0.7923814,2.410884,7.0742246,3.814,0.3827,0.005,0.005,0.7040804154230361,0.3197212979688084,1.0894052940775223,0.10239242787498014,0.6880914130500585,0,10.600895158569513,6.562954547938619,14.728506135014614,0.3688111681038115,91.29887218045113,12.4378125,12.236643174559294,6.769166666666667,0.45568608399541627,101.5376897092649,5.078645833333333,NHC_2020-01-29,0.00230383472585434
MC751,2020-01-30,2020-01-30T15:15:00Z,2020-01-29,33.52679121,5756.89545,1.370735365,0.068893805,1092.674696,0.636256015,6.86,NA,NA,NA,6,10.2,12.469437652811736,156.2,5.725,101.38960353125334,36.0087,-78.9683,WGS84,NA,4,3.574165825,0.01,pool,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.2,10.2,12.469437652811736,6,NA,NA,NA,MC751_2020-01-29,NA
NHC,2020-02-12,2020-02-12T14:30:00Z,2020-02-12,1.836932499,2172.083016,0.860591427,0.058815366,882.1441497,0.507361495,7.41,1.2053312770769236,1.909331005643962,0.4430440289332683,12.52,10.74,10.663997919825944,68.0187969924812,11.1,101.34459553231986,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,5.50833515,5.75652318,0.005,0.17528626,4.12454648,0.7801669,1.9344405,5.62169332,6.109,0.361,0.005,0.0119312,0.42764675621133225,0.06087178346628359,0.8236526426915782,0.06280571527243432,0.5578666221706204,0,12.682324358704783,7.372133426435421,18.14339511165965,0.4427637594595895,66.71522556390977,10.6503125,10.603917573628614,12.640625,1.9283192354057987,101.15477304259822,12.500520833333333,NHC_2020-02-12,0.00230383472585434
NHC,2020-02-12,2020-02-12T14:30:00Z,2020-02-12,1.215899893,1627.47585,0.516152272,0.058815366,882.1441497,0.507361495,7.41,1.2053312770769236,1.909331005643962,0.4430440289332683,12.52,10.74,10.663997919825944,68.0187969924812,11.1,101.34459553231986,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,5.50833515,5.75652318,0.005,0.17528626,4.12454648,0.7801669,1.9344405,5.62169332,6.109,0.361,0.005,0.0119312,0.42764675621133225,0.06087178346628359,0.8236526426915782,0.06280571527243432,0.5578666221706204,0,12.682324358704783,7.372133426435421,18.14339511165965,0.4427637594595895,66.71522556390977,10.6503125,10.603917573628614,12.640625,1.9283192354057987,101.15477304259822,12.500520833333333,NHC_2020-02-12,0.00230383472585434
PM,2020-02-12,2020-02-12T14:00:00Z,2020-02-12,0.668683493,1566.902299,0.501849693,0.058449087,875.0628733,0.503100133,7.05,1.1232667343014042,2.289418536569827,0.4627899793753962,12.44,10.37,10.681653170025326,56,11.1,101.26377197546077,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,5.45,5.88,0.015,0.1793,4.33,NA,2.34,7.4,6.063,0.3664,0.019907,0.0148216,0.2317575434122379,0,0.7723539163979073,1.1094567420859167,2.1189769066890505,0.11193614596588536,8.275970330342384,4.48015012371995,12.302408687021742,0.45596518769787914,55.02760416666667,10.319583333333334,10.625025453408574,12.5521875,2.149156855673471,101.15477304259822,12.500520833333333,PM_2020-02-12,0.00439823050281498
PM,2020-02-12,2020-02-12T14:00:00Z,2020-02-12,0.732649221,1553.414434,0.506184489,0.058449087,875.0628733,0.503100133,7.05,1.1232667343014042,2.289418536569827,0.4627899793753962,12.44,10.37,10.681653170025326,56,11.1,101.26377197546077,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,5.45,5.88,0.015,0.1793,4.33,NA,2.34,7.4,6.063,0.3664,0.019907,0.0148216,0.2317575434122379,0,0.7723539163979073,1.1094567420859167,2.1189769066890505,0.11193614596588536,8.275970330342384,4.48015012371995,12.302408687021742,0.45596518769787914,55.02760416666667,10.319583333333334,10.625025453408574,12.5521875,2.149156855673471,101.15477304259822,12.500520833333333,PM_2020-02-12,0.00439823050281498
CBP,2020-02-12,2020-02-12T17:00:00Z,2020-02-12,1.031261755,1733.502797,0.492173952,0.058333469,873.3319036,0.502104946,6.89,1.2308620564874682,2.4090873439783707,0.4603461956933138,12.492,10.272,10.66763663020041,56.22,12.2,101.16378530701657,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,5.19,5.66,0.015,0.1737,4.14,NA,2.3,7.11,6.638,0.4062,0.005,0.0140384,0.28198079546158744,0,0.6928281070107563,1.4154025798872663,2.1888110450744653,0.6334179786545533,8.792985852629782,6.192102419058511,11.7430212478922,0.4575553858014925,56.81041666666667,10.1578125,10.62946373533762,12.533541666666666,2.4141473931316746,101.15477304259822,12.500520833333333,CBP_2020-02-12,0.00387463147802864
CBP,2020-02-12,2020-02-12T17:00:00Z,2020-02-12,0.99057569,1763.672113,0.496632194,0.058333469,873.3319036,0.502104946,6.89,1.2308620564874682,2.4090873439783707,0.4603461956933138,12.492,10.272,10.66763663020041,56.22,12.2,101.16378530701657,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,5.19,5.66,0.015,0.1737,4.14,NA,2.3,7.11,6.638,0.4062,0.005,0.0140384,0.28198079546158744,0,0.6928281070107563,1.4154025798872663,2.1888110450744653,0.6334179786545533,8.792985852629782,6.192102419058511,11.7430212478922,0.4575553858014925,56.81041666666667,10.1578125,10.62946373533762,12.533541666666666,2.4141473931316746,101.15477304259822,12.500520833333333,CBP_2020-02-12,0.00387463147802864
WB,2020-02-12,2020-02-12T14:45:00Z,2020-02-12,1.475703525,2353.036698,0.512401911,0.058287221,872.6395158,0.501706871,6.83,0.8487890100877935,3.166257213837415,0.6475830960633676,12.36,10.31,10.703377760331223,58.9,11.1,101.1350406396389,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,4.93,5.46,0.015,0.1806,3.99,NA,2.25,6.95,6.89,0.3998,0.005,0.0177408,0.4561750836108824,0.004982521864081928,0.9208311200476366,1.3139456187004208,2.17901299044993,0.434969145547549,5.913488133476003,2.9577848717531503,8.9205792270847,0.6327068263307639,59.61875,10.291979166666668,10.638483036804143,12.496145833333333,2.766485693202324,101.15477304259822,12.500520833333333,WB_2020-02-12,0.00397935127800959
WB,2020-02-12,2020-02-12T14:45:00Z,2020-02-12,1.427125935,2153.906626,0.500380961,0.058287221,872.6395158,0.501706871,6.83,0.8487890100877935,3.166257213837415,0.6475830960633676,12.36,10.31,10.703377760331223,58.9,11.1,101.1350406396389,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,4.93,5.46,0.015,0.1806,3.99,NA,2.25,6.95,6.89,0.3998,0.005,0.0177408,0.4561750836108824,0.004982521864081928,0.9208311200476366,1.3139456187004208,2.17901299044993,0.434969145547549,5.913488133476003,2.9577848717531503,8.9205792270847,0.6327068263307639,59.61875,10.291979166666668,10.638483036804143,12.496145833333333,2.766485693202324,101.15477304259822,12.500520833333333,WB_2020-02-12,0.00397935127800959
